iter	RMSE
0	0.1674360342
1	0.1639161074
2	0.1610092605
3	0.1586129324
4	0.1551624204
5	0.1522615696
6	0.1490301857
7	0.1459898294
8	0.1432269989
9	0.1405761653
10	0.137535601
11	0.135021879
12	0.1326901238
13	0.1305779917
14	0.1286810308
15	0.1264356065
16	0.1242308961
17	0.1221352143
18	0.1197546016
19	0.117858199
20	0.1158878495
21	0.114107889
22	0.1123420536
23	0.1103470601
24	0.1084487027
25	0.1070559236
26	0.1053174418
27	0.1038060024
28	0.1023368791
29	0.101080433
30	0.09984041118
31	0.09849950951
32	0.09736014831
33	0.09613939061
34	0.09503357068
35	0.09372208997
36	0.09246107281
37	0.09154353936
38	0.09051514103
39	0.08948858443
40	0.08835750691
41	0.08741353209
42	0.08651123073
43	0.08564272104
44	0.08479098511
45	0.08417322383
46	0.08310301797
47	0.08227455737
48	0.08163575558
49	0.08108855673
50	0.08029943625
51	0.07958658138
52	0.07907942636
53	0.07834936076
54	0.07761384866
55	0.07681435615
56	0.07614936016
57	0.07554934759
58	0.07511806797
59	0.07447255778
60	0.07397550408
61	0.07343427925
62	0.07298729547
63	0.0725261212
64	0.07182134141
65	0.07162348103
66	0.07110788182
67	0.07069465734
68	0.07029224268
69	0.06978500435
70	0.06932708498
71	0.06874580574
72	0.06838152734
73	0.06795866407
74	0.06763931455
75	0.06723939846
76	0.06688497948
77	0.06643861303
78	0.06617567279
79	0.06586659975
80	0.06567164475
81	0.06534741169
82	0.06505674037
83	0.06471518878
84	0.06440089653
85	0.0641236861
86	0.06390554535
87	0.06372178912
88	0.06346388989
89	0.06308459532
90	0.06288926369
91	0.06272241568
92	0.06251590905
93	0.06233399687
94	0.06213702
95	0.06190847102
96	0.06167498966
97	0.06149586341
98	0.06120178332
99	0.06103624563
100	0.06088475252
101	0.0606526674
102	0.06034493258
103	0.06010743901
104	0.05984429517
105	0.05969167128
106	0.05951746629
107	0.05928103372
108	0.0591302003
109	0.05893178379
110	0.05871992858
111	0.05857940706
112	0.058352203
113	0.0581155196
114	0.05791456489
115	0.05774789441
116	0.05760929713
117	0.05749962757
118	0.05733665038
119	0.05721511622
120	0.0570729862
121	0.05691326471
122	0.05680938843
123	0.05669932342
124	0.05655348583
125	0.05650056646
126	0.05634066287
127	0.0562789202
128	0.05615984891
129	0.05607991292
130	0.05594356328
131	0.05577771767
132	0.05564215644
133	0.05551844331
134	0.05532075186
135	0.05516646823
136	0.05506841106
137	0.05503460381
138	0.05485952089
139	0.0546422819
140	0.05454329209
141	0.05445387238
142	0.05433487825
143	0.0542215657
144	0.05418426991
145	0.0541261066
146	0.05400799163
147	0.05387798679
148	0.05379841999
149	0.05371139312
150	0.0535851528
151	0.05349524576
152	0.0533645733
153	0.05326623668
154	0.05313866505
155	0.05303441508
156	0.05295809622
157	0.05288639698
158	0.05281659042
159	0.05267053524
160	0.0525861469
161	0.05250841556
162	0.05241891888
163	0.05236414026
164	0.05230682617
165	0.05224145148
166	0.05214547975
167	0.05207024963
168	0.05200530382
169	0.05195516692
170	0.05185800786
171	0.05174024635
172	0.0517119809
173	0.05163577268
174	0.05159183646
175	0.05153212049
176	0.0514383422
177	0.05134838215
178	0.05121087387
179	0.05113689455
180	0.05106274635
181	0.05099089673
182	0.05094256988
183	0.05087639948
184	0.05079645143
185	0.05068649391
186	0.0506123057
187	0.05055534045
188	0.05050107702
189	0.05038883969
190	0.05029679544
191	0.05023058468
192	0.05015775392
193	0.05011460231
194	0.05000798073
195	0.0499125692
196	0.04983388382
197	0.0497688045
198	0.04965123758
199	0.04956401554
200	0.04947408815
201	0.04941923583
202	0.04931889403
203	0.04927960456
204	0.04920243698
205	0.04913982078
206	0.04909916181
207	0.04902732695
208	0.04895838004
209	0.04888102873
210	0.04881801681
211	0.04872606913
212	0.04864490596
213	0.04857203823
214	0.04849221059
215	0.04841127281
216	0.04834720012
217	0.04828032418
218	0.04823204085
219	0.04816119801
220	0.04809173888
221	0.04799084278
222	0.04792902509
223	0.04786149818
224	0.04775609193
225	0.04767599825
226	0.04762526986
227	0.04757803967
228	0.04748469082
229	0.04737684667
230	0.04732030458
231	0.04727928796
232	0.04718862956
233	0.04708015894
234	0.04703467095
235	0.04697096735
236	0.04691132544
237	0.04684683496
238	0.04674748207
239	0.04668065084
240	0.04660990214
241	0.04653906589
242	0.04647127869
243	0.0464023651
244	0.04632994846
245	0.04626077903
246	0.04621258919
247	0.04613413508
248	0.04605757088
249	0.04600982853
250	0.04594807532
251	0.04585481272
252	0.045801498
253	0.04573646904
254	0.04565391091
255	0.04557915143
256	0.0455338817
257	0.04544990292
258	0.04535182558
259	0.0452702928
260	0.04521920804
261	0.04518665037
262	0.04514222468
263	0.04507241288
264	0.04501027195
265	0.0449486884
266	0.04490571485
267	0.04487326807
268	0.04480888924
269	0.04476306051
270	0.04470340248
271	0.04467209338
272	0.04463962697
273	0.0445910906
274	0.04455044838
275	0.04443998991
276	0.04438855481
277	0.04433892298
278	0.04428341896
279	0.04422418178
280	0.04421164971
281	0.04414694956
282	0.04406546197
283	0.0440207363
284	0.04397211021
285	0.04393365222
286	0.04389397693
287	0.04385295315
288	0.0438151985
289	0.04377304595
290	0.04370891914
291	0.04366066119
292	0.04361380663
293	0.0435632695
294	0.04351108483
295	0.0434620557
296	0.04342703438
297	0.04338487379
298	0.04334528751
299	0.04331040219
300	0.04327529046
301	0.04318176463
302	0.0431199977
303	0.04306339011
304	0.0429864109
305	0.04291655885
306	0.04286656381
307	0.04280954532
308	0.04278043479
309	0.0427487753
310	0.04269342868
311	0.04264274673
312	0.04259150159
313	0.04255070768
314	0.04252322713
315	0.04250128371
316	0.04242639703
317	0.04239557428
318	0.04234226509
319	0.04227680447
320	0.04221777608
321	0.04215607915
322	0.04211446923
323	0.04206019236
324	0.04200979764
325	0.04196607402
326	0.04191503102
327	0.04187495885
328	0.04184313678
329	0.04179767309
330	0.04176916972
331	0.04173570225
332	0.04168397383
333	0.04165940516
334	0.04159956659
335	0.04156797427
336	0.04151937068
337	0.04149464605
338	0.04144570687
339	0.04138088338
340	0.04136322447
341	0.04132375621
342	0.04127619903
343	0.04123044547
344	0.04117606224
345	0.04115025473
346	0.04110292091
347	0.04103312015
348	0.04099749042
349	0.04091413888
350	0.04088744814
351	0.04084206755
352	0.04080239894
353	0.04075485018
354	0.04073501334
355	0.04069540754
356	0.04065809604
357	0.04060247799
358	0.04055302563
359	0.04049201575
360	0.04044497179
361	0.04040781853
362	0.04033863992
363	0.04030971741
364	0.0403010064
365	0.04023809149
366	0.04016028126
367	0.04012157964
368	0.04007775161
369	0.04004261732
370	0.04000054763
371	0.03996540371
372	0.03995122127
373	0.0399099677
374	0.03986213527
375	0.03980472575
376	0.03975623007
377	0.03970794559
378	0.03963515417
379	0.03960878932
380	0.03958479928
381	0.03956766604
382	0.0395076701
383	0.03944996883
384	0.03939590247
385	0.03935860093
386	0.03931426516
387	0.03930519299
388	0.0392685268
389	0.03922246042
390	0.03917378155
391	0.03912868139
392	0.03909736674
393	0.03905446207
394	0.03901374998
395	0.03895951064
396	0.03892435025
397	0.03887861078
398	0.03885302283
399	0.03880168996
400	0.03875754587
401	0.03871099951
402	0.03868750405
403	0.03867319742
404	0.03862620861
405	0.03859241957
406	0.03858490649
407	0.03852591005
408	0.03847723642
409	0.03846332939
410	0.03842357989
411	0.03841091658
412	0.03836408419
413	0.03831836252
414	0.03829352851
415	0.03824497621
416	0.03819100053
417	0.03814017543
418	0.03808764806
419	0.03803237052
420	0.03801290036
421	0.03798332157
422	0.03795404659
423	0.03791639861
424	0.03788339533
425	0.03783907811
426	0.03780444171
427	0.03777251393
428	0.03774218291
429	0.03769626488
430	0.03764720327
431	0.03759961242
432	0.03756138325
433	0.03754995127
434	0.03751655468
435	0.03747893541
436	0.03746797032
437	0.03745304803
438	0.03741795539
439	0.03737541669
440	0.03733530859
441	0.03730410129
442	0.03726400998
443	0.03725478996
444	0.03723273894
445	0.03722344048
446	0.03717525332
447	0.03716647792
448	0.03713859095
449	0.03708394301
450	0.03705137191
451	0.03700839234
452	0.03697770718
453	0.03695832617
454	0.03690710968
455	0.03685093304
456	0.03681895448
457	0.03679229555
458	0.03676225126
459	0.03675570659
460	0.03671584928
461	0.03668428235
462	0.0366777012
463	0.03667367184
464	0.03666660157
465	0.03661649994
466	0.03656393482
467	0.03652080713
468	0.03648450705
469	0.03644668609
470	0.03640521997
471	0.03637051567
472	0.03633776768
473	0.03633304724
474	0.03627819198
475	0.03625487417
476	0.03620832178
477	0.03616935082
478	0.03611801734
479	0.03607950706
480	0.03603538748
481	0.03602837004
482	0.03597723709
483	0.03594483571
484	0.03590384187
485	0.03587964249
486	0.03583255413
487	0.03582611034
488	0.03578540115
489	0.03575940161
490	0.03571496228
491	0.03567812311
492	0.03563334687
493	0.03559202056
494	0.03553785926
495	0.03551361805
496	0.03550640421
497	0.03546520393
498	0.03545915337
499	0.03542383123
500	0.03538779912
501	0.03535576202
502	0.03531458808
503	0.03530899154
504	0.03527342907
505	0.0352653254
506	0.03521847594
507	0.03519318077
508	0.03516002063
509	0.03512719423
510	0.03509305805
511	0.03505335434
512	0.03502353033
513	0.03499817544
514	0.0349547308
515	0.03492796114
516	0.03488840591
517	0.0348737603
518	0.03483945763
519	0.03480550957
520	0.03475784785
521	0.03473514458
522	0.03470177333
523	0.0346688996
524	0.03464362327
525	0.03463784387
526	0.03463036969
527	0.034618801
528	0.03459606918
529	0.03456937889
530	0.03453555837
531	0.03450258247
532	0.03447252061
533	0.0344385314
534	0.03441578516
535	0.03435448603
536	0.0343189274
537	0.03428637626
538	0.03425208613
539	0.03421994467
540	0.03421543282
541	0.03420039525
542	0.034194033
543	0.03418800329
544	0.03416576382
545	0.03414454326
546	0.03413453711
547	0.03409977582
548	0.03409468603
549	0.03405190638
550	0.03401878191
551	0.03398826852
552	0.03398418673
553	0.03396426846
554	0.03393508729
555	0.03388856568
556	0.03385550408
557	0.03381729293
558	0.03378038183
559	0.03375517915
560	0.03374402071
561	0.03372254823
562	0.03367852281
563	0.03364790075
564	0.03362759583
565	0.03357699658
566	0.03355359907
567	0.03351552744
568	0.03350142667
569	0.0334732145
570	0.03345566053
571	0.03341473189
572	0.03336743182
573	0.03334073835
574	0.03331144375
575	0.03327926483
576	0.03325240662
577	0.0332245867
578	0.03320128464
579	0.03319746943
580	0.03317119532
581	0.03313733406
582	0.03313040823
583	0.03312577949
584	0.03309735606
585	0.03307234452
586	0.03303337725
587	0.03299713084
588	0.0329657446
589	0.03294380937
590	0.03292193954
591	0.0328836074
592	0.03284534192
593	0.03282038965
594	0.03280016712
595	0.03277024607
596	0.0327417136
597	0.03270612165
598	0.03266878039
599	0.03264432577
600	0.03260944274
601	0.03259990854
602	0.03258215137
603	0.03254776671
604	0.03252748635
605	0.03247908697
606	0.03245441226
607	0.03242698128
608	0.03239306696
609	0.03235748793
610	0.03232529501
611	0.03231519413
612	0.03226710936
613	0.03223802021
614	0.03223293564
615	0.03220672047
616	0.03216860391
617	0.03213962635
618	0.03212785128
619	0.03210070895
620	0.03207248571
621	0.03204486386
622	0.03201554229
623	0.03198864688
624	0.03196685967
625	0.0319308629
626	0.03191165888
627	0.03190812816
628	0.03188917375
629	0.03186507296
630	0.03182892448
631	0.03181388895
632	0.03179120107
633	0.03176743155
634	0.03174158504
635	0.03170854724
636	0.03168996405
637	0.03166856638
638	0.03164301885
639	0.0316167101
640	0.03161222664
641	0.03159373989
642	0.03155891746
643	0.03152028589
644	0.03148636505
645	0.03146241196
646	0.03142933788
647	0.03139491513
648	0.03136317581
649	0.03134575953
650	0.03132009607
651	0.03129766394
652	0.03126936355
653	0.0312388458
654	0.0312145555
655	0.03118433972
656	0.03116404407
657	0.03114953991
658	0.03110711681
659	0.03108089141
660	0.03106196237
661	0.03103859619
662	0.03100969864
663	0.03097599196
664	0.03097157157
665	0.03094945745
666	0.0309238257
667	0.03088685198
668	0.03086709265
669	0.03085858933
670	0.03082986888
671	0.03080216586
672	0.0307868334
673	0.03075960526
674	0.03073885222
675	0.03071145178
676	0.03069511849
677	0.03068547255
678	0.03065821336
679	0.03064370044
680	0.03062791771
681	0.03059209463
682	0.03056963396
683	0.03054596165
684	0.03052605408
685	0.0305091657
686	0.03047867459
687	0.03045689904
688	0.0304381254
689	0.03041430783
